"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Sep 08 18:15:31 NZST 2019","Sun Sep 08 18:15:31 NZST 2019","1","","Test: Button clickable after the Ajax Loader has been successfully executed with pause command","","Test: Button clickable after the Ajax Loader has been successfully executed with pause command","Test 1: Click on the button ASAP","Test 1: Click on the button ASAP",""
"passed","Sun Sep 08 18:15:31 NZST 2019","Sun Sep 08 18:15:49 NZST 2019","17193","","Test: Button clickable after the Ajax Loader has been successfully executed with pause command","","Test: Button clickable after the Ajax Loader has been successfully executed with pause command","Test 2: Click on the button after 7 Seconds","Test 2: Click on the button after 7 Seconds",""
